gene_id	gene_name	H2	H27	H45	H47	H56	H74	H87	H91
ENSG00000072657	TRHDE	21	4	3	9.999	2	5	4	10
ENSG00000073060	SCARB1	31	47.999	64.001	17	15	57	31	115.001
ENSG00000073614	KDM5A	4067.001	3928.999	6771.999	7344.001	7257	5405	4917	2924
ENSG00000074527	NTN4	9.999	12	35	3	4	21	4	9
ENSG00000074590	NUAK1	3	44	13	15	10	19	4	59
ENSG00000075035	WSCD2	1	3	9	0	1	0	0	26
ENSG00000075089	ACTR6	89.999	152.001	113.001	82	26	102.999	26.999	39.001
ENSG00000075188	NUP37	61	117	140	44	46	107	32	49
ENSG00000075415	SLC25A3	1343.998	1206	2238.002	1843	1098	1542.001	1069.001	825.998
ENSG00000075856	SART3	427	601	1179.002	647.001	383	811.001	326	422.999
ENSG00000076067	RBMS2	53.009	87.943	96	78	41	66	35	108.001
ENSG00000076108	BAZ2A	717	536.001	832.999	1243.998	1421.999	626.002	869	564.001
ENSG00000076248	UNG	31	127	278.999	80	52	202	37	82
ENSG00000076513	ANKRD13A	3980.999	1951	3810	10888.999	5654.999	3389	6156	2746
ENSG00000076555	ACACB	56	109	227.999	247	55	73	57.999	133
ENSG00000078237	TIGAR	240.331	246.829	430.064	318.678	236	286.901	265	424.808
ENSG00000078246	TULP3	16	25.999	31	6	6	16.999	5	19
ENSG00000079337	RAPGEF3	4	2	12.001	2	0	1	1	87
ENSG00000079387	SENP1	220	385.999	571	324.001	226	331.001	268	262
ENSG00000080371	RAB21	1968	1060	1856	2433	1825	1268	1656	881
ENSG00000081760	AACS	61	88.001	188.999	66	64.001	92	36	173
ENSG00000082805	ERC1	261	528.999	959	394.999	403.001	457	251.999	429
ENSG00000083782	EPYC	0	0	0	0	0	0	0	0
ENSG00000084110	HAL	2015	287.001	561.001	3962.999	3548	474	3009	554
ENSG00000084112	SSH1	630	360.001	508	1152.001	1298	390	655.001	395
ENSG00000084444	FAM234B	45	58	161	33	23	81	31	73
ENSG00000084453	SLCO1A2	0	0	6	1	0	0	1	36
ENSG00000084463	WBP11	64	136	151	73	65.999	97.999	53	63
ENSG00000086159	AQP6	0	0	1	0	0	0	0	25
ENSG00000086598	TMED2	1459	1122	2030	1567	952	1329	1022	840
ENSG00000087448	KLHL42	178	344	593	204	155	412.999	111	233.001
ENSG00000087470	DNM1L	380	694	1038.999	411.002	234.001	625	253.999	368
ENSG00000087494	PTHLH	0	0	2	0	0	0	0	7
ENSG00000087502	ERGIC2	1025.999	496.999	846.001	1171.001	797	522.999	665	318
ENSG00000088986	DYNLL1	230.999	367.001	458.999	235	208.999	412	189.999	233.999
ENSG00000088992	TESC	545	3722	839.001	1750.001	333	1304.001	1077	387.999
ENSG00000089009	RPL6	1649.001	2702.001	4074.998	1320.999	1102.999	2125.999	790.001	996
ENSG00000089022	MAPKAPK5	287.743	532.943	944.764	369.904	310.163	537.9	223.759	399.66
ENSG00000089041	P2RX7	180	196	291	146.001	138.999	230	85	183
ENSG00000089053	ANAPC5	981.001	1625	2829.001	1448.001	982	1576	790	917.002
ENSG00000089060	SLC8B1	415.001	283	523.001	681.002	622.999	355	396.999	213
ENSG00000089094	KDM2B	105	291	455	105	112.001	242.001	79.001	165
ENSG00000089116	LHX5	0	0	0	3	0	0	0	11
ENSG00000089127	OAS1	482	653.001	1281.999	1179	2688.001	820	814.001	826.001
ENSG00000089154	GCN1	314.001	654.001	1212.999	380	307	691.001	241	370
ENSG00000089157	RPLP0	4864.001	5877.999	14338	4482.002	2486	7129	2353	2387.001
ENSG00000089159	PXN	992	404.001	490	1468.001	1899.001	552.999	1107.999	379
ENSG00000089163	SIRT4	12	5	17	5	6	9	3	9
ENSG00000089169	RPH3A	19	3	3	23	7	11	3	38
ENSG00000089220	PEBP1	210	387	1011	244	100	515	133	213
ENSG00000089225	TBX5	0	0	2	0	0	0	0	23
ENSG00000089234	BRAP	471	557	761	774	576.001	547	528.999	417.999
ENSG00000089248	ERP29	292	307	699	230.999	157	347	139	172
ENSG00000089250	NOS1	0	0	5	0	1	0	0	91
ENSG00000089692	LAG3	0	10	9	2	3	8	2	4
ENSG00000089693	MLF2	373.001	221	494	1137.001	524	442	703	340.001
ENSG00000089818	NECAP1	879.291	654.419	1340.476	1484.348	968.503	889.515	1100.92	645.224
ENSG00000090376	IRAK3	15348	1614	1993	26415	21418.001	1907	18492	2091
ENSG00000090382	LYZ	33515	29599	45540	51465	19024	29762	15073	11201.999
ENSG00000090612	ZNF268	242	304	656.001	206	117	364.001	134.999	213
ENSG00000090615	GOLGA3	507.999	867.999	1551	965	650	1088.001	450	582.001
ENSG00000090975	PITPNM2	23	37	111	40	35	41	14	34
ENSG00000091039	OSBPL8	15924.999	4229.001	8300	12362	15170.001	6287.999	9090	4080
ENSG00000092841	MYL6	6278.001	10284	5023.001	6936	5262.001	5001	4694.999	911.999
ENSG00000094914	AAAS	20	55	56	20	30	40	25.001	21.999
ENSG00000094916	CBX5	277	804	1592	337	274	682	238	579
ENSG00000102189	EEA1	426	416	792	407	249	442	276	327
ENSG00000110799	VWF	40	7	14	17	6	11	15	24
ENSG00000110801	PSMD9	282.259	431.51	439.264	598.742	273.279	374.894	338.251	148.064
ENSG00000110811	P3H3	1	9	17	5	0	8	6	14
ENSG00000110841	PPFIBP1	15	40	81	34.001	16	32	17	67
ENSG00000110844	PRPF40B	7	13	53.999	13	7	13	6	44
ENSG00000110848	CD69	121	272	325	136.001	112	163.001	48	43
ENSG00000110851	PRDM4	182	225	491	337	204	289	154.999	218
ENSG00000110852	CLEC2B	781	412	567	589	703	390.001	438	286
ENSG00000110871	COQ5	87	86.001	193	62	42	124	40.999	28
ENSG00000110876	SELPLG	4270	780	2091	4969	5032	1636	4179.001	1760.001
ENSG00000110880	CORO1C	1255	603.999	766	1950.999	950	950.001	1042	599.001
ENSG00000110881	ASIC1	0	0	3	0	0	1	0	15
ENSG00000110887	DAO	0	0	0	0	0	0	0	28
ENSG00000110888	CAPRIN2	304.999	1139.002	685	350.001	232.999	536	319	391.998
ENSG00000110900	TSPAN11	0	0	1	0	0	0	0	41
ENSG00000110906	KCTD10	148.999	284.999	456.001	289	163	259	177.999	252
ENSG00000110911	SLC11A2	255	587.999	777.999	311	258	430	218	284.999
ENSG00000110917	MLEC	533	826	1221.001	595	447	845	325	592
ENSG00000110921	MVK	26	45	108.999	50	25	57	14	105
ENSG00000110925	CSRNP2	131.001	157.001	276	283	170	205	137	200
ENSG00000110931	CAMKK2	2099.001	621	943	4016.001	3493.999	901	3022	733
ENSG00000110934	BIN2	3829	1553.001	2581	4556	4296	2217	3480	2012
ENSG00000110944	IL23A	9	48	109	11	14	50	7	12
ENSG00000110955	ATP5F1B	2107.999	3561	4042.999	2832.001	1821	3376	2069	1633
ENSG00000110958	PTGES3	797	1615	957	623	393	816.001	474	273
ENSG00000110975	SYT10	0	1	0	0	0	0	0	4
ENSG00000110987	BCL7A	23	23.001	80	12	9	39	9	41
ENSG00000111011	RSRC2	1029.001	1003.001	1586	1268	908.002	1077.999	814	605.002
ENSG00000111012	CYP27B1	1	0	2	0	0	3	1	12
ENSG00000111046	MYF6	0	0	0	0	0	0	0	1
ENSG00000111049	MYF5	1	0	0	0	0	0	0	0
ENSG00000111052	LIN7A	4278	459.999	861	4140	4014	1141	2895	753.001
ENSG00000111057	KRT18	19	7	57	20	8	17	20	30
ENSG00000111058	ACSS3	2237	214	444	2781	2740	721	1983	436
ENSG00000111077	TNS2	0	6	1	0	0	0	0	12
ENSG00000111087	GLI1	1	1	5	5	0	2	5	1
ENSG00000111110	PPM1H	67	30	42	158	66	47	89	87
ENSG00000111142	METAP2	135.001	264	470.001	160	132	277.001	91	147
ENSG00000111144	LTA4H	3083.001	2005	4083	3456.001	7212	2914.001	2237.001	1728.998
ENSG00000111145	ELK3	213	317	389	178	116	221	109	151
ENSG00000111181	SLC6A12	14	11	34	30	20	15	27	46
ENSG00000111186	WNT5B	13	3	11	20	10	18	15	24
ENSG00000111196	MAGOHB	83.001	179.001	335	60	54	190	43	114
ENSG00000111199	TRPV4	0	2	1	1	0	0	0	3
ENSG00000111203	ITFG2	140	351.001	589.999	181.999	137	353.999	112.999	230.999
ENSG00000111206	FOXM1	3	9	8	5	2	5	9	28
ENSG00000111215	PRR4	2	7.045	7	1	0	2	1	8
ENSG00000111218	PRMT8	0	0	4	0	0	0	0	56
ENSG00000111224	PARP11	151	373	623	253	207.001	325.999	201	191.999
ENSG00000111229	ARPC3	3299.001	1409	2455	3666.001	2794	2216.001	2570	948
ENSG00000111231	GPN3	74	95	182	56	33	115	43	34
ENSG00000111237	VPS29	595	606.001	747.998	593	463.999	486	419	259
ENSG00000111241	FGF6	0	0	0	0	0	0	0	1
ENSG00000111245	MYL2	4	0	0	0	0	0	0	3
ENSG00000111247	RAD51AP1	5	17.001	19	4	3	10	5	7
ENSG00000111249	CUX2	0	8	4	4	0	4	0	34
ENSG00000111252	SH2B3	495	462	863	766	656.001	809	688	888
ENSG00000111254	AKAP3	8	7	25	14	1	6	1	26
ENSG00000111261	MANSC1	531	50	137	1241	791	161.001	1075.001	209
ENSG00000111262	KCNA1	1	0	14	1	0	0	0	45.437
ENSG00000111266	DUSP16	188	223	457.999	170	305	237.999	136	205
ENSG00000111269	CREBL2	570	1057	1749	600	351	1125	407	515
ENSG00000111271	ACAD10	102	172	266	181.999	149	180.999	123	120
ENSG00000111275	ALDH2	658	185.001	220	467	573	237.425	294	192.001
ENSG00000111276	CDKN1B	3630	2080	3954	4405	3604.001	3099	2796	1598
ENSG00000111291	GPRC5D	0	1	0	0	0	1	0	3
ENSG00000111300	NAA25	278.001	578	1036	232	210.999	500	176	312
ENSG00000111305	GSG1	0	0	0	0	0	0	0	10
ENSG00000111319	SCNN1A	7	1	3	1	14	7	0	17
ENSG00000111321	LTBR	287	71.999	125.001	185.999	389	148	209.001	113
ENSG00000111325	OGFOD2	87.859	83.601	187.61	141.086	69.961	120.107	87.204	46.97
ENSG00000111328	CDK2AP1	291	108.999	273.001	247	139	166	161	180.999
ENSG00000111331	OAS3	145.001	335.001	782.999	1086.999	3269.001	423.001	1099.001	466.999
ENSG00000111335	OAS2	324	811.001	1617	896.002	1983.999	905.999	885.001	817
ENSG00000111339	ART4	13	16	11	9	0	5	8	31
ENSG00000111341	MGP	0	0	5	1	0	1	0	8
ENSG00000111344	RASAL1	0	2	5	0	0	1	0	16
ENSG00000111348	ARHGDIB	5048.999	1382	3661.001	6755.999	6069	3094	6259	3388
ENSG00000111358	GTF2H3	139	197	432.999	122	63	229	85	119
ENSG00000111361	EIF2B1	217	315	599	302	161	470	152	235.001
ENSG00000111364	DDX55	76.001	190.999	347	103	80.999	201	71	143
ENSG00000111371	SLC38A1	2244	4927.999	10924	2772.999	2042.999	5113.999	1884	2774.001
ENSG00000111404	RERGL	0	0	1	0	0	0	0	1
ENSG00000111405	ENDOU	0	0	0	0	1	0	0	7
ENSG00000111412	SPRING1	400	453	899	394	333	569	305	451
ENSG00000111424	VDR	73	35	58	138	150	90.999	87	90
ENSG00000111432	FZD10	1	0	1	0	2	0	0	25
ENSG00000111445	RFC5	55	100	177.999	104	36	77	61	55
ENSG00000111450	STX2	162	212	369	95.999	61	148.001	51.001	106.999
ENSG00000111452	ADGRD1	10	60	57	25	7	24	7	122.999
ENSG00000111481	COPZ1	278.999	382.999	525.002	389.001	285	434	244.998	264
ENSG00000111490	TBC1D30	128	18	34.843	210.27	201	63	102	93.831
ENSG00000111530	CAND1	1027	1787	3022	952.001	622	1598.999	612	949.999
ENSG00000111536	IL26	0	0	0	0	0	0	0	1
ENSG00000111537	IFNG	2	32	9	2	1	12	0	2
ENSG00000111540	RAB5B	328.001	466	424	845	609.001	342	615.999	363
ENSG00000111554	MDM1	485.999	377.002	553	454.999	330.998	417	306.999	204.001
ENSG00000111581	NUP107	212.001	476.001	813.001	265	185.999	510.001	150.999	227
ENSG00000111596	CNOT2	1250.998	1467	2661.998	1706.001	1071	1470	1092.001	1021
ENSG00000111602	TIMELESS	44	92	152.999	65	47	83	39	74.001
ENSG00000111605	CPSF6	1509	1825	3301	1501	773	1731	890	772.999
ENSG00000111615	KRR1	348.001	633	1317	366	231.999	589.999	199.999	313
ENSG00000111639	MRPL51	110	151	255.001	96	106	208	92	59
ENSG00000111640	GAPDH	7248.999	4294	9330.999	13836	8366	6290	8670	5854.999
ENSG00000111641	NOP2	31.819	147.001	304.807	92.001	113	174.001	71.001	95
ENSG00000111642	CHD4	1407.777	1135.001	2276.178	2578.999	2403.999	1525	1269.999	1212.001
ENSG00000111644	ACRBP	38	23	34	42	34.999	25	49.001	26
ENSG00000111647	UHRF1BP1L	2248	743	1168	2783	2120	1166	2027	981
ENSG00000111652	COPS7A	119	84.999	170	198	120	138.999	165	100
ENSG00000111653	ING4	320.999	239	370.002	428.998	344.999	293	250.999	147.999
ENSG00000111664	GNB3	0	0	1	0	0	0	0	6
ENSG00000111665	CDCA3	3	4	7	10	1	6	5	41
ENSG00000111666	CHPT1	1041.001	1325	740.999	1694	1178	870.999	751.001	283.999
ENSG00000111667	USP5	143	259	563	147.001	142	371	101	192.999
ENSG00000111669	TPI1	1380	963	1841	1701	1039	1632.999	1090	1005
ENSG00000111670	GNPTAB	646.001	1170	1691.001	849	649.001	946	424	741
ENSG00000111671	SPSB2	73	59	227	147	57	165	39	51
ENSG00000111674	ENO2	54	177.001	269	62	33	164	40	84
ENSG00000111676	ATN1	5	15	17	3	8	6	4	6
ENSG00000111678	C12orf57	160	327	695.001	145	128	498	117	109
ENSG00000111679	PTPN6	911	494	1037	1497	1415	935	996	522
ENSG00000111684	LPCAT3	346	122	169	270	442.999	159.001	309	175
ENSG00000111696	NT5DC3	73	83	108	177	174	58	133	110
ENSG00000111700	SLCO1B3	0	0	1	0	0	0	0	2
ENSG00000111701	APOBEC1	0	0	0	0	0	0	0	0
ENSG00000111704	NANOG	0	1	3	0	0	0	0	36
ENSG00000111707	SUDS3	917	958	1316	1606	1086	1218	926	663
ENSG00000111711	GOLT1B	355	452	773	347	192	444	181	192
ENSG00000111713	GYS2	3.772	3	0	0	0	0	0	0
ENSG00000111716	LDHB	1078	1813.999	4506.027	691	459.808	2186.313	493.664	462.625
ENSG00000111725	PRKAB1	187	174	327	258	172.001	257.999	199.001	166
ENSG00000111726	CMAS	106	342	251	167	105	262	94	70
ENSG00000111727	HCFC2	298	513	748.999	256	174	474	162	253
ENSG00000111728	ST8SIA1	55	308	425.001	54	20	281	41	136
ENSG00000111729	CLEC4A	443.221	227.363	276.078	489.136	507.161	333.094	333.19	180
ENSG00000111731	C2CD5	604.001	759	1116	1159.999	707	661.999	520	396.999
ENSG00000111732	AICDA	6	6	6	18	5	4	20	39
ENSG00000111737	RAB35	425	233	520	697.999	500	438	511.999	263.001
ENSG00000111752	PHC1	67.864	203.241	364.621	84.023	88.603	156.017	47.801	181.968
ENSG00000111775	COX6A1	526.001	542	600	541.001	539	572.001	302	231
ENSG00000111780	ENSG00000111780	0	0	1.461	1.207	1.104	0	0	0
ENSG00000111783	RFX4	0	0	3	0	0	0	0	27
ENSG00000111785	RIC8B	150	285.999	451	143	97.001	271	86	168.001
ENSG00000111786	SRSF9	1112.999	820	1542.001	1506	960	1281.999	907	409.999
ENSG00000111788	ENSG00000111788	9.658	14.925	57.663	15.145	2.109	46.209	1	20.041
ENSG00000111790	FGFR1OP2	1697.001	2177	1649	1566	961	1475.001	1168	618
ENSG00000111796	KLRB1	125	291	432	69	84	276	43	72
ENSG00000112787	FBRSL1	31	50	56	36	36	51	24	53
ENSG00000115934	LINC02566	0	0	0	1	0	0	0	0
ENSG00000118307	DNAI7	1	4	0	3	0	1	2	1
ENSG00000118308	IRAG2	2186.999	826.999	1880.001	3992.999	2630.999	1410	2431.999	1436.001
ENSG00000118596	SLC16A7	1075	1729	2747	811	606	1510.001	636	841
ENSG00000118600	RXYLT1	89	135	225	48	47.001	107	48.999	108.001
ENSG00000118971	CCND2	593.375	1786.187	3058.093	738.052	691.999	1965.822	477	1069.675
ENSG00000118972	FGF23	0	0	5	0	2	0	0	24
ENSG00000118976	OTUD4P1	0	0	3	0	0	1	0	24
ENSG00000119242	CCDC92	44	153.999	221	87	71	147	40	114
ENSG00000120645	IQSEC3	3	0	4	0	0	1	0	34
ENSG00000120647	CCDC77	32	62	104.001	71	45.999	68.001	48	59
ENSG00000120798	NR2C1	121	271	506.001	141	88	227	70	136
ENSG00000120800	UTP20	146	397	775	174	149	426	125	245
ENSG00000120802	TMPO	2212.002	2814	4890	2022.998	1317.002	2768	1209.999	1562
ENSG00000120805	ARL1	162	260	431	151.001	84	258.001	98	147.999
ENSG00000120820	GLT8D2	1	0	0	0	2	1	0	3
ENSG00000120832	MTERF2	56	159	227	147	76	156	61	80
ENSG00000120833	SOCS2	50	99	237.999	49	48	113	19	92
ENSG00000120837	NFYB	140	152.001	212	133	84	128	64	103
ENSG00000120860	WASHC3	144	144.999	210.001	129.999	141	166.999	103	114
ENSG00000120868	APAF1	5961.001	1794	2877.999	7793	6023	2872	6136	1931
ENSG00000121314	TAS2R8	0	1	3	0	1	0	0	2
ENSG00000121316	PLBD1	5862	1105	1525.001	10982	8414	1812	5869	1632
ENSG00000121318	TAS2R10	4	11	29	5	7	14	4	21
ENSG00000121335	PRB2	0	1	0	0	0	0	0	3
ENSG00000121350	PYROXD1	256	403	663	214	137	361	145.001	154
ENSG00000121351	IAPP	1	0	0	0	0	0	0	3
ENSG00000121361	KCNJ8	0	0	4	0	1	0	0	20
ENSG00000121377	TAS2R7	1	0	2	0	0	0	0	7
ENSG00000121380	BCL2L14	0	3	3	0	1	4	3	25
ENSG00000121381	TAS2R9	0	0	4	0	0	1	0	3
ENSG00000121749	TBC1D15	1133	597.999	1081.001	1058.999	866.999	640	892	301.512
ENSG00000122965	RBM19	181	460	841	209	142	414.001	112	227
ENSG00000122966	CIT	5	72	51	30	14	28	21.999	196.001
ENSG00000122970	IFT81	19	24	25	34	24	15	29	25
ENSG00000122971	ACADS	87	135	170	88	51	139	87	33
ENSG00000122986	HVCN1	262	206	709	548	243	410	266.999	457
ENSG00000123009	NME2P1	0	0	0	0	0	0	0	1
ENSG00000123064	DDX54	69.999	124.999	231	94.999	66.999	185	59	72
ENSG00000123066	MED13L	6448	3313	6025.002	10155.999	8516.001	4401	7899.999	4013.001
ENSG00000123094	RASSF8	9	5	12	10	5	4	3	49
ENSG00000123095	BHLHE41	3	21	15	8	2	12	3	27
ENSG00000123096	SSPN	28	62	65	26	23	28	21	43
ENSG00000123104	ITPR2	2357	2308	3744.999	4020.999	3797	2915	2347	2018
ENSG00000123106	CCDC91	191.001	543	605.001	215	138	365	143.002	191.999
ENSG00000123268	ATF1	214.999	261	395	351	151	201	120	170.999
ENSG00000123297	TSFM	78	106.001	236.348	104	52.999	156.001	45.001	83
ENSG00000123307	NEUROD4	0	0	4	1	1	0	4	22
ENSG00000123329	ARHGAP9	1484.001	441	523	2003	2105	639.999	1517.001	505
ENSG00000123338	NCKAP1L	2130	2665.998	4184	3740.001	3567	2985	2246	2529.001
ENSG00000123342	MMP19	4	1	5	5	6	2	3	55.999
ENSG00000123349	PFDN5	836.918	2086.393	743.982	577.849	485.412	625.385	435.874	275.622
ENSG00000123352	SPATS2	23	42	72.001	25	20	37.999	12	39.999
ENSG00000123353	ORMDL2	205	170.001	393	336.999	247.999	309.001	214	160
ENSG00000123358	NR4A1	6	2	8	1	4	6	1	28
ENSG00000123360	PDE1B	12	37	30	28.001	40	18	16	69
ENSG00000123364	HOXC13	0	0	1	0	0	0	0	12
ENSG00000123374	CDK2	57.001	92	180.001	64	74	79	43.999	76.999
ENSG00000123384	LRP1	527	393.001	456	544	653.001	368	295	507
ENSG00000123388	HOXC11	0	0	1	0	0	0	0	17
ENSG00000123395	ATG101	142	189.999	418.999	165.999	93	295.999	110.999	111
ENSG00000123405	NFE2	3401	2658	1612	3241.999	4032	1873	3828	1191
ENSG00000123407	HOXC12	0	0	0	0	0	0	0	16
ENSG00000123411	IKZF4	9	14	10	5	8	14	3	17
ENSG00000123415	SMUG1	234	198.001	351	302.999	222	224	208	165.001
ENSG00000123416	TUBA1B	1591.581	1179.841	2490.895	2118.312	1481.365	1878.648	1570.82	1229.005
ENSG00000123427	EEF1AKMT3	16	20	14	10	8	18	5	13
ENSG00000125084	WNT1	0	0	2	0	1	0	0	5
ENSG00000125207	PIWIL1	0	0	1	0	0	0	0	17
ENSG00000126746	ZNF384	150.001	130.001	286.999	310	202.001	195.001	208.998	169.999
ENSG00000126749	EMG1	197.594	329.909	668.821	175.969	135.194	434.175	101.876	191.874
ENSG00000126838	PZP	0	0	4	0	0	0	0	1
ENSG00000127311	HELB	710.001	873.999	1638.999	552.999	859	927.001	408.001	423
ENSG00000127314	RAP1B	3824.999	3817.998	4957.999	3893.999	2931	3516.001	2655	1941
ENSG00000127318	IL22	0	0	0	0	0	0	0	2
ENSG00000127324	TSPAN8	0	2	0	0	0	0	0	2
ENSG00000127325	BEST3	1	0	4	1	2	0	4	28
ENSG00000127328	RAB3IP	328	446	446.001	372.999	335.999	298.999	303.001	223.999
ENSG00000127329	PTPRB	2	5	9	0	2	11	1	19
ENSG00000127334	DYRK2	1244	3116	6126	1251	961.001	3456	874	1659.001
ENSG00000127337	YEATS4	55	104.001	171	91	25	101	50	38
ENSG00000127720	METTL25	179.001	196	194	171.001	115.001	124.999	108	56
ENSG00000129315	CCNT1	918.001	918.999	1542	1306	844.001	1050	818	623.999
ENSG00000129317	PUS7L	600	1054.001	1944.999	689	410	1006.999	396	619
ENSG00000130035	GALNT8	1.146	1	12.238	2	0	0	2	18.015
ENSG00000130037	KCNA5	1	2	8.396	1	0	0	5	31
